AsOfDate,Comapny,Account,AU,Currency,PrimaryAccount,SecondaryAccount,GL_Balance,IHUB_Balance,BalanceDiff,MatchBreak
07/26/2024,ACWKSEF1XXX,15557269,7827,IRR,Money Market Account,deposit transaction at Paucek LLC using card ending with ***(...1386) for ZAR 232.25 in account ***64613968,15957.35,22471.39,-6514.039999999999,Break
07/31/2024,PYTSGYKYJKJ,43664251,3711,BDT,Credit Card Account,payment transaction at Wolf: Collins and Gibson using card ending with ***(...9428) for ERN 920.89 in account ***10729202,80023.65,7153.0,72870.65,Break
04/24/2024,HPJNGQPW9D0,36394023,1334,DKK,Home Loan Account,payment transaction at Crooks - Emard using card ending with ***(...8662) for SEK 979.62 in account ***36081798,67527.33,72659.11,-5131.779999999999,Break
10/23/2023,TUXDGLLRQ7Y,22650920,7167,DKK,Investment Account,invoice transaction at Smitham - Runolfsdottir using card ending with ***(...6108) for MAD 260.12 in account ***37540088,84346.2,6956.61,77389.59,Break
12/13/2024,WLQFMEJH,16050399,6648,MOP,Credit Card Account,invoice transaction at Harvey: Vandervort and Cole using card ending with ***(...9114) for PHP 782.91 in account ***56285395,78221.34,97544.23,-19322.89,Break
01/10/2024,KIXNTZ81,44480886,5694,PGK,Checking Account,withdrawal transaction at Herman - Hagenes using card ending with ***(...0475) for KMF 803.31 in account ***68682207,41370.19,12359.08,29011.11,Break
06/04/2024,HFOYSAUIXXX,3798693,393,DZD,Money Market Account,withdrawal transaction at Mueller Group using card ending with ***(...8077) for ARS 113.67 in account ***70576897,65586.08,75561.4,-9975.319999999992,Break
05/24/2024,CLVGNRGX,12160186,9329,LKR,Investment Account,payment transaction at Feest: Parisian and Beahan using card ending with ***(...3123) for MOP 118.59 in account ***06110960,20773.47,54260.79,-33487.32,Break
02/18/2025,MSNRTTAU,84598022,5876,CUP,Savings Account,withdrawal transaction at Pfannerstill Group using card ending with ***(...8295) for BDT 521.35 in account ***59921697,36179.45,5591.72,30587.73,Break
01/09/2025,CLMCLVQJXXX,77879903,2955,NIO,Investment Account,withdrawal transaction at Gerhold - Bartoletti using card ending with ***(...1557) for UAH 61.65 in account ***03729003,51754.86,66036.34,-14281.479999999996,Break
03/17/2024,BZGSUAFWSFK,15920003,2337,VUV,Home Loan Account,deposit transaction at Bartoletti Group using card ending with ***(...1483) for KYD 121.21 in account ***35882315,30943.46,22684.44,8259.02,Break
02/21/2024,MSJHGG7Y,80127593,1035,EUR,Savings Account,withdrawal transaction at Kling - Bashirian using card ending with ***(...5142) for CLP 376.55 in account ***67773932,11753.55,27062.47,-15308.920000000002,Break
11/09/2023,HRKFSTCLXXX,47881255,1697,VUV,Money Market Account,withdrawal transaction at Harber - VonRueden using card ending with ***(...9016) for RWF 731.00 in account ***39165452,48913.58,23210.63,25702.95,Break
06/13/2024,KLXZPKSDJEY,47184880,6237,AUD,Home Loan Account,withdrawal transaction at Gottlieb LLC using card ending with ***(...9608) for CLP 875.86 in account ***94083996,51099.01,18741.75,32357.26,Break
08/02/2024,QYWVGFQP,47648232,4553,EUR,Savings Account,payment transaction at Halvorson LLC using card ending with ***(...7593) for NOK 408.70 in account ***03799452,65435.17,84055.14,-18619.97,Break
12/15/2023,QSENGTLWXXX,11938598,7867,KMF,Credit Card Account,payment transaction at Bradtke - Torphy using card ending with ***(...1507) for GEL 550.68 in account ***33995259,36867.53,86943.04,-50075.51,Break
10/05/2024,JYVVOM5QM6D,28431111,9697,THB,Savings Account,payment transaction at O'Kon - Leffler using card ending with ***(...8250) for XOF 741.33 in account ***38466032,24946.35,64553.38,-39607.03,Break
10/16/2024,VBQKIRXA,2446243,8631,WST,Investment Account,invoice transaction at Hyatt - Rau using card ending with ***(...4197) for DKK 570.22 in account ***92107073,53013.71,43052.38,9961.330000000002,Break
12/18/2024,PAJHCR93XXX,30192242,7430,CUP,Credit Card Account,deposit transaction at Leffler - Lind using card ending with ***(...8167) for DJF 498.48 in account ***77622853,30379.16,44213.02,-13833.859999999995,Break
06/27/2024,AVAQSHAW,85196139,3838,KES,Credit Card Account,invoice transaction at Lakin - Kozey using card ending with ***(...9107) for CZK 133.82 in account ***36298946,88877.15,73114.86,15762.289999999994,Break
10/25/2024,AUJMCCJ0XXX,45793540,4581,TRY,Credit Card Account,withdrawal transaction at Conn and Sons using card ending with ***(...8256) for ARS 651.38 in account ***67400791,19790.03,19545.21,244.8199999999997,Break
08/02/2024,YTJXNE9H,84769003,4003,SEK,Investment Account,payment transaction at MacGyver LLC using card ending with ***(...4443) for IQD 416.90 in account ***99069292,58412.99,57079.04,1333.949999999997,Break
10/16/2023,JQFMAWTGXXX,45860993,7290,FJD,Personal Loan Account,invoice transaction at Volkman LLC using card ending with ***(...5991) for ANG 373.72 in account ***54288383,80542.78,21860.11,58682.67,Break
08/26/2024,UXSXSY51,62398541,3280,TMT,Personal Loan Account,invoice transaction at Mills - Mertz using card ending with ***(...4888) for JOD 669.03 in account ***06540897,67392.03,83372.33,-15980.300000000005,Break
02/08/2025,ERJTFIHTXXX,1012646,68,HKD,Home Loan Account,invoice transaction at Considine - Lebsack using card ending with ***(...8644) for TZS 752.04 in account ***50657968,40289.27,10701.78,29587.49,Break
01/27/2024,CEWFWFBIXXX,28776337,3215,CAD,Checking Account,invoice transaction at Kshlerin and Sons using card ending with ***(...8940) for TMT 453.20 in account ***43357910,54651.76,61281.09,-6629.3299999999945,Break
03/06/2025,CBBIHMT7OFW,21311429,8711,USD,Personal Loan Account,payment transaction at Bayer - Conn using card ending with ***(...0527) for MDL 737.65 in account ***65096347,66713.55,12537.53,54176.02,Break
12/23/2024,YIDPPGKI,65684932,5871,KMF,Money Market Account,payment transaction at Schoen - Greenfelder using card ending with ***(...7810) for BMD 468.40 in account ***89023583,30620.48,13969.96,16650.52,Break
03/30/2024,RVIENRSWXXX,74594795,5341,XAF,Home Loan Account,deposit transaction at Brown: Bins and Windler using card ending with ***(...7162) for SGD 52.71 in account ***39410036,71908.54,41468.19,30440.34999999999,Break
02/06/2024,UKTZCH48,98683298,7840,MOP,Savings Account,payment transaction at Russel Inc using card ending with ***(...8832) for ANG 550.94 in account ***72481148,52676.37,40412.85,12263.520000000004,Break
10/29/2024,REKENRZTXXX,18226591,3862,BMD,Credit Card Account,invoice transaction at Aufderhar LLC using card ending with ***(...0675) for KPW 303.36 in account ***75978105,15370.63,76086.07,-60715.44000000001,Break
08/06/2024,SJAZPHI4XXX,35646307,8683,TJS,Auto Loan Account,deposit transaction at Runolfsson LLC using card ending with ***(...2438) for VUV 74.29 in account ***05369321,81551.69,16901.15,64650.54,Break
09/27/2024,TSGISK72,2778745,1821,DJF,Money Market Account,invoice transaction at Erdman: Olson and Auer using card ending with ***(...3193) for KGS 552.56 in account ***58660683,31701.92,38559.87,-6857.950000000004,Break
03/03/2024,YXWWECZ1,55356998,8538,WST,Investment Account,invoice transaction at Lynch - Effertz using card ending with ***(...1623) for BYN 765.38 in account ***37453061,19878.28,32182.59,-12304.31,Break
07/24/2024,HDAFCHRIXXX,76109013,8202,GIP,Home Loan Account,payment transaction at Grimes - Marks using card ending with ***(...1597) for NIO 6.99 in account ***25897544,14142.18,44774.51,-30632.33,Break
05/28/2024,KNXDSAE3X0W,92691689,5795,PKR,Checking Account,invoice transaction at Macejkovic - Hand using card ending with ***(...5660) for BND 260.55 in account ***56805924,16261.01,69441.5,-53180.49,Break
10/12/2024,BYDPNR43,60840501,7098,DKK,Personal Loan Account,payment transaction at Paucek Group using card ending with ***(...5576) for RWF 484.67 in account ***15246951,24576.65,44798.19,-20221.54,Break
11/25/2023,QMAWSRMB,90423833,9714,NGN,Credit Card Account,payment transaction at Ward: Schmidt and Lebsack using card ending with ***(...8080) for XOF 316.59 in account ***13914777,66519.76,45318.91,21200.84999999999,Break
03/06/2024,OBNJGUT9,96509207,3972,PAB,Home Loan Account,deposit transaction at Kuvalis: Thompson and Stark using card ending with ***(...2963) for RSD 718.90 in account ***48242913,28314.87,64452.14,-36137.27,Break
06/08/2024,BZCOGL1V3G8,84620304,897,ZMW,Home Loan Account,deposit transaction at Shields LLC using card ending with ***(...7971) for KPW 362.49 in account ***78489369,66991.11,35569.36,31421.75,Break
08/06/2024,QJHRTTAHXXX,58360421,8755,BDT,Credit Card Account,withdrawal transaction at Wisoky: Mills and Vandervort using card ending with ***(...6968) for BGN 957.36 in account ***38676989,73240.35,32134.68,41105.670000000006,Break
12/11/2023,MGOOSXMS,68766541,6080,XAF,Savings Account,invoice transaction at Buckridge Group using card ending with ***(...6539) for TWD 399.29 in account ***90491373,80625.07,50452.95,30172.12000000001,Break
08/19/2024,XNUWAGJWYGB,10406630,2474,EUR,Auto Loan Account,payment transaction at Waelchi - Considine using card ending with ***(...4594) for GHS 905.74 in account ***04380173,86721.35,54980.89,31740.460000000006,Break
02/02/2024,EJLWPHRMI5M,29769869,1267,YER,Checking Account,deposit transaction at Rutherford: Kunde and Mosciski using card ending with ***(...2771) for GTQ 498.97 in account ***16703312,33623.5,8048.04,25575.46,Break
02/19/2025,QYMLUSZDOLT,65001095,6800,HUF,Savings Account,payment transaction at Stokes and Sons using card ending with ***(...6677) for SEK 174.90 in account ***99511418,59851.5,86663.34,-26811.84,Break
01/16/2025,SDPMOMIE4T2,13670903,9778,AMD,Savings Account,payment transaction at Gibson - Huels using card ending with ***(...7597) for COP 169.55 in account ***99597398,87173.3,92593.69,-5420.389999999999,Break
10/08/2023,HWWYNG9V,51388995,2867,NZD,Personal Loan Account,withdrawal transaction at Swift Inc using card ending with ***(...0953) for MKD 418.42 in account ***37551037,56394.55,87038.73,-30644.179999999997,Break
08/22/2024,UGXQPW1M,97505027,3891,GNF,Money Market Account,withdrawal transaction at Huel - Considine using card ending with ***(...5362) for ISK 399.27 in account ***21276584,66561.95,79721.43,-13159.479999999996,Break
10/11/2024,LKGXHN6R,37928445,7832,USD,Credit Card Account,invoice transaction at Ernser - Rice using card ending with ***(...9171) for MOP 897.55 in account ***00612076,12544.48,19873.97,-7329.490000000002,Break
04/28/2024,KBPOAXYSXXX,7134044,9097,THB,Money Market Account,payment transaction at Barrows Inc using card ending with ***(...1400) for GNF 662.90 in account ***54344242,54078.77,7203.14,46875.63,Break
11/21/2023,TZXPROV0DHH,11473620,9898,BAM,Credit Card Account,invoice transaction at Huel - Schamberger using card ending with ***(...8944) for LKR 564.89 in account ***51116663,59419.17,43076.02,16343.15,Break
06/18/2024,HJNAEGRYBI1,15497220,1525,DKK,Money Market Account,payment transaction at Gottlieb - O'Hara using card ending with ***(...5140) for SCR 644.25 in account ***40366860,18195.03,80436.17,-62241.14,Break
08/17/2024,NHMXNRM4VMX,91148171,7089,SRD,Savings Account,withdrawal transaction at Prohaska: Runte and Huels using card ending with ***(...8417) for EUR 518.09 in account ***53222763,41995.77,42638.25,-642.4800000000032,Break
07/15/2024,SPIHKIH7,76291431,5695,RUB,Personal Loan Account,invoice transaction at Hayes - Frami using card ending with ***(...5672) for THB 607.34 in account ***52489029,58028.88,39158.57,18870.31,Break
01/14/2025,IRHKBWSR76O,60268425,5617,MDL,Credit Card Account,payment transaction at Nader: Runte and Douglas using card ending with ***(...3333) for STN 113.63 in account ***38489967,83617.05,61922.11,21694.94,Break
01/15/2025,JTDNNG3GXXX,56446199,6785,HUF,Money Market Account,deposit transaction at Spinka Group using card ending with ***(...9565) for CLP 828.58 in account ***96891921,28787.2,48954.05,-20166.85,Break
05/30/2024,SLZSDZTW,84116927,8814,JMD,Personal Loan Account,payment transaction at Hamill - Hoppe using card ending with ***(...8707) for AUD 74.28 in account ***24130015,79564.07,52574.32,26989.750000000007,Break
01/04/2025,MODFRS90O73,67285542,4189,MXN,Savings Account,invoice transaction at Keeling - Konopelski using card ending with ***(...1176) for MRU 778.82 in account ***67759107,74790.09,80579.49,-5789.400000000009,Break
10/23/2024,IEEGMY77,55735131,7454,BAM,Home Loan Account,withdrawal transaction at Russel LLC using card ending with ***(...6607) for GHS 261.67 in account ***20848379,31644.4,34287.7,-2643.299999999996,Break
07/22/2024,XGUSST1G04D,57464819,14,ZAR,Personal Loan Account,withdrawal transaction at Simonis - Metz using card ending with ***(...2312) for CDF 652.03 in account ***79778431,46961.78,73634.5,-26672.72,Break
12/05/2024,GPCOTF78XXX,51833283,2605,BHD,Checking Account,payment transaction at Ferry - Gottlieb using card ending with ***(...7243) for BMD 42.82 in account ***32342095,50512.48,12335.69,38176.79,Break
11/03/2024,IPSWAGQN,41938458,1766,BND,Home Loan Account,withdrawal transaction at Jakubowski Group using card ending with ***(...5018) for MYR 696.55 in account ***83909135,83469.9,54851.93,28617.969999999998,Break
07/24/2024,AHBGZMT3,27742885,7837,TWD,Credit Card Account,deposit transaction at Herman: Mertz and Fadel using card ending with ***(...6567) for TTD 369.15 in account ***51654014,18544.17,39093.29,-20549.120000000003,Break
12/16/2024,TWJYMA29CC9,98574581,4970,RWF,Credit Card Account,invoice transaction at Streich and Sons using card ending with ***(...5664) for BYN 771.14 in account ***51807338,60746.55,73884.7,-13138.149999999994,Break
10/27/2024,VRGRYTF5,83332861,1141,NOK,Savings Account,invoice transaction at Corwin: Jacobson and Bartell using card ending with ***(...9780) for BAM 932.35 in account ***45522631,43643.23,90473.81,-46830.58,Break
07/07/2024,MUSJGF2MXXX,85359205,5784,HUF,Savings Account,withdrawal transaction at Marvin - Jacobi using card ending with ***(...4955) for KHR 871.75 in account ***26387185,21176.54,59161.78,-37985.24,Break
05/26/2024,BDXGSCC4,36054832,5629,GEL,Auto Loan Account,invoice transaction at Leffler Group using card ending with ***(...9169) for ZWL 236.65 in account ***41113491,46616.3,9715.32,36900.98,Break
11/06/2023,KOITMET3XXX,26438660,5346,SLE,Home Loan Account,deposit transaction at Howe LLC using card ending with ***(...8612) for AFN 389.40 in account ***11077384,34519.0,23384.44,11134.56,Break
07/25/2024,LYTDPFDYXXX,56094185,7941,PAB,Savings Account,invoice transaction at Hammes Inc using card ending with ***(...7428) for KRW 985.44 in account ***68942731,35379.21,84520.98,-49141.77,Break
10/26/2023,VMCCKZXOXXX,66612787,4990,SGD,Savings Account,deposit transaction at Stiedemann: Hauck and Huel using card ending with ***(...9557) for DZD 240.90 in account ***99846173,16831.09,79603.38,-62772.29000000001,Break
07/11/2024,UBVYFR0KXXX,44992393,3727,NOK,Home Loan Account,payment transaction at Lowe Group using card ending with ***(...0429) for DJF 668.01 in account ***06032376,27251.63,5041.3,22210.33,Break
02/18/2025,PALLAL3OVBY,58342800,4218,GIP,Auto Loan Account,deposit transaction at Beatty - Sauer using card ending with ***(...1171) for BIF 950.96 in account ***53042271,10926.3,81350.69,-70424.39,Break
01/22/2025,OVDRDZPG6VO,44606058,8250,ZAR,Credit Card Account,payment transaction at Lesch - Wehner using card ending with ***(...6121) for SAR 931.38 in account ***22710304,58356.34,51347.02,7009.32,Break
09/19/2024,HWQPHUS7,21329750,5653,PEN,Checking Account,payment transaction at Boehm - Cole using card ending with ***(...7031) for KHR 808.09 in account ***42114349,41243.57,96532.85,-55289.280000000006,Break
09/30/2024,EKDGPTFM,54914689,8066,CNY,Savings Account,invoice transaction at Rogahn - Legros using card ending with ***(...8942) for KYD 955.08 in account ***30190960,32409.8,92244.87,-59835.06999999999,Break
09/18/2024,SGTIJMBZ,13455278,5070,BIF,Personal Loan Account,deposit transaction at Boyer Group using card ending with ***(...5766) for KMF 213.57 in account ***42996898,64480.87,92801.2,-28320.329999999994,Break
04/11/2024,QAJONF44XXX,88220798,1636,MRU,Investment Account,invoice transaction at Kilback and Sons using card ending with ***(...0785) for SOS 115.14 in account ***15374807,49171.62,23410.04,25761.58,Break
02/08/2025,EOFVPMQN,31951469,2885,AUD,Credit Card Account,deposit transaction at Dare: Ledner and Heathcote using card ending with ***(...2331) for EUR 442.96 in account ***91792302,28692.54,94992.66,-66300.12,Break
10/13/2024,AUONTZK1,19036467,1784,SLE,Home Loan Account,payment transaction at Schmeler - Schmidt using card ending with ***(...1739) for PGK 273.20 in account ***40694822,31782.35,94807.61,-63025.26,Break
12/27/2023,LJEHQANX,17033953,7783,USD,Personal Loan Account,deposit transaction at Carter Inc using card ending with ***(...5992) for GTQ 410.44 in account ***61130851,58407.33,33193.87,25213.46,Break
01/21/2025,KKYTMG0AKQ6,19943233,4789,MAD,Auto Loan Account,withdrawal transaction at Williamson: Waelchi and Walter using card ending with ***(...9822) for ILS 986.31 in account ***12233506,28748.49,8333.74,20414.75,Break
04/14/2024,KIBBBNMBXXX,55301500,9952,MKD,Home Loan Account,withdrawal transaction at Waters Group using card ending with ***(...4538) for TJS 376.32 in account ***92406085,32747.51,88943.92,-56196.41,Break
11/18/2024,CKCIEG2CXXX,13692622,9857,LSL,Personal Loan Account,payment transaction at Waters Inc using card ending with ***(...1885) for USD 893.09 in account ***99059111,74748.17,83900.5,-9152.330000000002,Break
10/14/2023,NUHLHKMNGDC,50649091,9879,SCR,Personal Loan Account,payment transaction at Moen - Feest using card ending with ***(...8086) for RWF 907.85 in account ***85792817,80355.46,57321.8,23033.660000000003,Break
12/28/2024,XHCKMYO1XXX,63989128,4920,MXN,Auto Loan Account,withdrawal transaction at Graham - Fritsch using card ending with ***(...3570) for SHP 965.04 in account ***60081877,50054.21,52157.64,-2103.4300000000003,Break
10/23/2023,ZLOCPT2A,19610843,5988,LYD,Credit Card Account,payment transaction at McClure - Paucek using card ending with ***(...5948) for MUR 765.77 in account ***43476833,35321.09,14142.42,21178.67,Break
04/29/2024,THYEMRHY55X,88010370,4185,STN,Personal Loan Account,withdrawal transaction at Sanford - Thiel using card ending with ***(...6603) for ANG 291.98 in account ***74413754,17507.94,98083.68,-80575.73999999999,Break
12/04/2023,ECONAW0IJWX,81739649,1126,INR,Home Loan Account,withdrawal transaction at Baumbach: Herzog and Kuhn using card ending with ***(...3986) for SHP 587.19 in account ***15858651,53137.68,18963.44,34174.240000000005,Break
09/30/2024,CMXGHMMU,75470039,5326,PKR,Personal Loan Account,invoice transaction at Flatley: Osinski and Trantow using card ending with ***(...8304) for CRC 641.24 in account ***68018187,46808.16,28955.21,17852.950000000004,Break
11/13/2023,BMQUBW5T,69067501,3937,USD,Auto Loan Account,invoice transaction at Jacobson - Zemlak using card ending with ***(...0005) for ARS 772.82 in account ***46863483,21060.69,45294.7,-24234.01,Break
10/20/2024,LEMCNA1L4M4,31550761,7307,RON,Money Market Account,withdrawal transaction at Mosciski and Sons using card ending with ***(...5956) for SLE 351.85 in account ***45953610,41861.84,71083.7,-29221.86,Break
05/12/2024,EPBSETMEXXX,24117019,6690,MNT,Savings Account,invoice transaction at Lesch LLC using card ending with ***(...7334) for HNL 610.74 in account ***46093154,13770.19,56104.25,-42334.06,Break
05/17/2024,FSODFRVT,1871119,5454,TND,Investment Account,withdrawal transaction at Nikolaus - Tromp using card ending with ***(...6425) for XPF 760.49 in account ***71029508,25477.4,9827.04,15650.36,Break
06/26/2024,QBJLRE3X,68549161,6307,MOP,Savings Account,withdrawal transaction at Gerhold LLC using card ending with ***(...1556) for JMD 24.09 in account ***29715713,46096.04,73145.25,-27049.21,Break
11/02/2024,EVOHTMZ4,32149342,9773,LYD,Savings Account,payment transaction at Rippin: McCullough and Lynch using card ending with ***(...4235) for SYP 1.72 in account ***38107461,52420.73,31307.62,21113.110000000004,Break
05/25/2024,BROWGBPE,7082358,8249,EGP,Money Market Account,invoice transaction at Bruen Group using card ending with ***(...2436) for CVE 890.63 in account ***56776127,44188.69,92833.2,-48644.51,Break
10/04/2023,UFKGBAJQ,78615132,5378,MKD,Checking Account,payment transaction at Bradtke: Reynolds and Kihn using card ending with ***(...4673) for INR 496.98 in account ***89131672,81237.71,89039.5,-7801.789999999994,Break
10/30/2023,IGFZTNEG,27678953,6684,KMF,Personal Loan Account,payment transaction at Hartmann - Kessler using card ending with ***(...0314) for TJS 167.11 in account ***12838947,23262.63,54901.19,-31638.56,Break
03/10/2024,TXZITNOE,90203387,3484,GNF,Savings Account,deposit transaction at Jenkins - Dibbert using card ending with ***(...2732) for PHP 254.23 in account ***03390402,10872.59,38097.04,-27224.45,Break
12/09/2023,PWCKXKO6,36933496,8937,UAH,Investment Account,deposit transaction at Predovic: Stoltenberg and Jakubowski using card ending with ***(...3204) for ZMW 827.03 in account ***49326164,55337.35,60461.64,-5124.290000000001,Break
12/20/2023,BLJYMLOK,94568167,2417,KPW,Investment Account,invoice transaction at Herman: Haag and Klocko using card ending with ***(...1085) for SHP 957.56 in account ***57509556,18500.59,19426.25,-925.66,Break
02/23/2025,DXQCPS8CMBG,60727161,4073,USD,Credit Card Account,withdrawal transaction at Vandervort: Waters and Waelchi using card ending with ***(...9700) for LYD 190.49 in account ***28746217,53478.1,80691.72,-27213.620000000003,Break
03/23/2024,CSOFML8GXXX,3170902,4348,UAH,Credit Card Account,payment transaction at Jaskolski and Sons using card ending with ***(...9702) for ARS 702.81 in account ***79257292,76805.42,82585.45,-5780.029999999999,Break
07/03/2024,WSICHK79,59804531,8360,MAD,Savings Account,invoice transaction at Haag - Bogan using card ending with ***(...7490) for ETB 563.49 in account ***47648663,84808.96,91418.73,-6609.7699999999895,Break
01/30/2025,GQPMMPBC,26112457,8746,TRY,Personal Loan Account,withdrawal transaction at Powlowski: Marquardt and Kihn using card ending with ***(...0074) for SBD 78.00 in account ***28437197,70421.99,64417.76,6004.230000000003,Break
01/30/2025,SQSOTMSJXXX,68476550,372,PEN,Auto Loan Account,deposit transaction at O'Keefe Group using card ending with ***(...4002) for YER 197.73 in account ***99426105,19461.52,36082.9,-16621.38,Break
06/04/2024,DOFNPMWQCYD,88332118,7187,TRY,Personal Loan Account,withdrawal transaction at Bailey Group using card ending with ***(...9030) for QAR 223.93 in account ***90749116,89974.69,6111.48,83863.21,Break
04/01/2024,FWFXGB88,75877376,4628,KES,Investment Account,withdrawal transaction at Ruecker - Russel using card ending with ***(...2827) for VES 891.75 in account ***45594532,39767.92,60567.48,-20799.560000000005,Break
02/03/2025,XAVLPNKD,16273997,8344,BAM,Investment Account,invoice transaction at Stracke - Lueilwitz using card ending with ***(...0287) for DOP 875.47 in account ***60898967,39477.11,76416.31,-36939.2,Break
02/15/2024,BGMAARVSXXX,58459306,8003,LAK,Money Market Account,payment transaction at Monahan - Mante using card ending with ***(...6738) for UZS 626.52 in account ***46103895,45073.97,6721.94,38352.03,Break
02/09/2025,QRWFWSBKXXX,44558757,7727,CVE,Credit Card Account,deposit transaction at Goyette: Labadie and Heathcote using card ending with ***(...8410) for TRY 389.05 in account ***77432958,57809.79,39899.04,17910.75,Break
01/20/2025,VJBGSDLN,18057073,8436,ZMW,Auto Loan Account,deposit transaction at Reichert: Wunsch and Bayer using card ending with ***(...7225) for MRU 137.28 in account ***06699933,79225.56,76708.64,2516.9199999999983,Break
02/26/2024,FAPPSXAGXXX,99156013,4152,XAF,Savings Account,withdrawal transaction at Flatley - Schumm using card ending with ***(...5974) for AFN 192.90 in account ***02619499,72585.29,78540.74,-5955.450000000012,Break
02/03/2025,TPSXEH71O5O,42620358,9283,TOP,Checking Account,withdrawal transaction at Rath - Hilpert using card ending with ***(...3340) for SYP 633.14 in account ***41096405,83384.97,8614.05,74770.92,Break
05/02/2024,PGKJLAD8,12098591,5115,SBD,Credit Card Account,withdrawal transaction at Kutch: Bayer and Hagenes using card ending with ***(...2430) for USD 550.61 in account ***15116625,42004.35,66153.27,-24148.92000000001,Break
03/05/2024,KIPQKI7BXXX,49909232,4907,WST,Auto Loan Account,payment transaction at Harvey - Rohan using card ending with ***(...5338) for TND 461.32 in account ***46508651,71014.2,82289.98,-11275.78,Break
02/21/2024,FFIBGLEX,5600830,2418,RSD,Auto Loan Account,payment transaction at Huel: Bahringer and Greenholt using card ending with ***(...4126) for NIO 836.46 in account ***27223105,78614.92,70450.66,8164.259999999995,Break
09/22/2024,TOXPKP1S,84947971,3340,PAB,Auto Loan Account,payment transaction at Gutmann: Conn and Gibson using card ending with ***(...8884) for BGN 622.98 in account ***40617207,77819.12,82042.52,-4223.400000000009,Break
01/29/2024,TNEHVIFU,56141615,6986,HKD,Personal Loan Account,withdrawal transaction at Nikolaus Group using card ending with ***(...7624) for CLP 874.41 in account ***53148479,48934.67,16394.04,32540.63,Break
05/06/2024,NHLRKII3L2N,38366380,6018,MVR,Personal Loan Account,invoice transaction at Pacocha Inc using card ending with ***(...4049) for UGX 714.12 in account ***72407807,73636.82,43112.52,30524.30000000001,Break
02/01/2024,ILVZSZ7X,77659989,9276,GNF,Checking Account,payment transaction at Jones - Gleichner using card ending with ***(...6479) for USD 893.39 in account ***90828822,46824.21,15096.2,31728.01,Break
01/21/2024,UCHGMAH1U7X,92626006,4152,USD,Auto Loan Account,payment transaction at Jacobs - Kautzer using card ending with ***(...7802) for RUB 799.29 in account ***38325526,28094.2,74745.97,-46651.77,Break
02/23/2025,POTNPLAD,52969296,425,SEK,Personal Loan Account,payment transaction at Reichel and Sons using card ending with ***(...4370) for GEL 154.45 in account ***92641564,32780.93,37060.8,-4279.870000000003,Break
01/26/2024,PZXIGWGY6S0,16458515,8583,BND,Investment Account,payment transaction at Bode Inc using card ending with ***(...0669) for PLN 835.85 in account ***26218407,68445.5,48429.94,20015.56,Break
11/18/2023,SNMEGB88,58668954,9424,SYP,Money Market Account,payment transaction at Gibson: Dickens and Johnson using card ending with ***(...5879) for SAR 170.72 in account ***50108997,57659.69,81699.66,-24039.97,Break
01/02/2025,TRDOKIB4PED,22125172,1010,MNT,Investment Account,invoice transaction at Wolf: Stoltenberg and O'Hara using card ending with ***(...4056) for MYR 430.27 in account ***87078558,55171.19,6268.05,48903.14,Break
01/06/2024,HTATTLQ8XXX,60269963,6779,CNY,Checking Account,invoice transaction at Tillman - Hilpert using card ending with ***(...1633) for SEK 543.62 in account ***28087639,64871.1,58786.13,6084.970000000001,Break
02/15/2024,SMOFHN21,23772697,5907,TMT,Auto Loan Account,invoice transaction at Abshire LLC using card ending with ***(...1287) for FJD 70.79 in account ***79317673,80916.11,90791.04,-9874.929999999991,Break
01/21/2025,YJJBKM2U,95931951,6770,UZS,Investment Account,payment transaction at Crooks LLC using card ending with ***(...4958) for VES 662.21 in account ***17558339,36303.24,19532.24,16770.999999999996,Break
10/25/2023,OWYYCLGG,64079520,4596,GBP,Auto Loan Account,payment transaction at Cruickshank - Kutch using card ending with ***(...8680) for QAR 618.26 in account ***14515750,67605.59,43457.18,24148.41,Break
10/13/2024,DJSSNOV2XXX,51101931,3450,TOP,Home Loan Account,payment transaction at Ward and Sons using card ending with ***(...5501) for ANG 831.35 in account ***28265844,29759.59,92038.49,-62278.90000000001,Break
01/06/2024,CDBVMYX1XXX,53282734,7558,USD,Personal Loan Account,invoice transaction at Reichert Group using card ending with ***(...3797) for THB 628.90 in account ***10523945,14129.08,30906.41,-16777.33,Break
04/22/2024,DSXTSNWABOS,96500166,4764,PEN,Credit Card Account,payment transaction at Sporer: Wuckert and Hahn using card ending with ***(...4864) for BSD 575.08 in account ***22570910,82418.52,87492.48,-5073.959999999992,Break
04/26/2024,YIQBPNKUXXX,98882902,5715,DJF,Credit Card Account,payment transaction at Klein - Dickinson using card ending with ***(...1489) for UAH 130.48 in account ***96125544,75790.87,33422.0,42368.87,Break
05/28/2024,JXMGTT90XXX,19765591,9677,CVE,Credit Card Account,invoice transaction at Kris LLC using card ending with ***(...8806) for MYR 368.13 in account ***63828514,80836.37,67278.49,13557.87999999999,Break
12/21/2023,KGLNTZFD,8179334,6264,BRL,Personal Loan Account,payment transaction at Wilkinson: Langworth and Beahan using card ending with ***(...3964) for MYR 675.06 in account ***16154131,21184.62,72301.5,-51116.880000000005,Break
05/17/2024,FGADPK20,26461076,5490,IDR,Investment Account,withdrawal transaction at Lakin Group using card ending with ***(...9758) for VES 128.14 in account ***91631125,81017.98,48738.81,32279.17,Break
